0	AR-AB (Ft. Nitty)	North 2 West by AR-AB (Ft. Nitty)	eat a dick / Bring 32 grand if you need a brick / Call me at the office, if you need a	https://genius.com/Ar-ab-north-2-west-lyrics
0	Al-D (Ft. Lil' Keke)	Hurtin Inside by Al-D (Ft. Lil' Keke)	And this K-I-N-G, has potential to be / A lock and a key, my 20/20 can see	https://genius.com/Al-d-hurtin-inside-lyrics
0	Ameer Vann	All I Know by Ameer Vann	chains gettin' heavy but my head gettin' bigger / Thirty for a brick and a hunnid in the trunk / Leave a	https://genius.com/Ameer-vann-all-i-know-lyrics
0	Andrew736	MLB The Show 26 Free Rotation Tips From U4GM by Andrew736	mlb-the-show-26/stubs for a handy boost when a key upgrade can't wait. Play Ranked with a	https://genius.com/Andrew736-mlb-the-show-26-free-rotation-tips-from-u4gm-lyrics
0	Backbone (Ft. Killer Mike)	Sho' Ya Right by Backbone (Ft. Killer Mike)	on the bean, cut clean / I'll bring you the whole thing for 18 / They look to Back for the	https://genius.com/Backbone-sho-ya-right-lyrics
0	Bookey & El Fetti	Friendly Reminder by Bookey & El Fetti	grew / What the buiness be, Fuck you talking bout? / A whole thing for 10 pounds, we can swap it out	https://genius.com/Bookey-and-el-fetti-friendly-reminder-lyrics
0	Brevner	***WATERLOO*** - (The Jitters Story) - MADCHILD DISS OFFICIAL by Brevner	a brick / Chipped away for 7 days nigga, down to the zip / Drivin' round the lower mainland with coke on	https://genius.com/Brevner-waterloo-the-jitters-story-madchild-diss-official-lyrics
0	Christopher Evans	Cycles in Nature by Christopher Evans	the maintenance of oxygen concentration in the atmosphere, at approximately 20%. It is also a key process by which carbon	https://genius.com/Christopher-evans-cycles-in-nature-annotated
0	Chubbie Baby (Ft. 2 Chainz & Jim Jones)	Thank the Plug by Chubbie Baby (Ft. 2 Chainz & Jim Jones)	brick at 15 and a half / Now a half a brick cost you 15 and a half / Open up my	https://genius.com/Chubbie-baby-thank-the-plug-lyrics
0	Conway the Machine & Benny the Butcher (Ft. 38 Spesh & Stove God Cooks)	LALO (Original) by Conway the Machine & Benny the Butcher (Ft. 38 Spesh & Stove God Cooks)	say that they need to get they shit together / Runnin; twenty deep, can't buy a brick together / 'Cause they	https://genius.com/Conway-the-machine-and-benny-the-butcher-lalo-original-lyrics
0	Corleone (UK) (Ft. Snap Capone)	Poor Little Rich Kid by Corleone (UK) (Ft. Snap Capone)	get a brick quick / Heard that sniff shit, 35 a brick prick / I can get your brick whipped, a hundred	https://genius.com/Corleone-uk-poor-little-rich-kid-lyrics
0	D.I.T.C. (Ft. Big Pun & KRS-One)	Drop It Heavy (Buckwild Remix) by D.I.T.C. (Ft. Big Pun & KRS-One)	s for the Range but I got 'em down / To twenty and a brick, now I'm out wit this	https://genius.com/Ditc-drop-it-heavy-buckwild-remix-lyrics
0	Darya	Broke Bitch by Darya	m ganna hate the least? / All I knew is by 25 I'm ganna have a lease / And the keys	https://genius.com/Darya-broke-bitch-lyrics
0	Doughboyz Cashout (Ft. Mack Nickels)	Numbers by Doughboyz Cashout (Ft. Mack Nickels)	can get for the 6. 2 for 60 for the bricks / Low key as whip when I’m trafficking the	https://genius.com/Doughboyz-cashout-numbers-lyrics
0	Economics Genius (Ft. NASDAQ & NYSE)	How to Read Stock Market Information by Economics Genius (Ft. NASDAQ & NYSE)	ttm): 25.26 / EPS (ttm): 34.57 / Div & Yield: N/A (N/A) / Key Statistics / Valuation Measures / Market Cap (intraday	https://genius.com/Economics-genius-how-to-read-stock-market-information-annotated
0	Emoney X JC (Ft. Sirflexalot)	prada by Emoney X JC (Ft. Sirflexalot)	my bitch, yuh / You know we be pullin' them sticks, yuh / I got twenty fucking thousand for a brick, yuh 	https://genius.com/Emoney-x-jc-prada-lyrics
0	Fee Gonzales	Slatt by Fee Gonzales	Yeah, I just paid like 40 for the brick mm-hm / I just put the monkey on my kicks mm	https://genius.com/Fee-gonzales-slatt-lyrics
0	Florence Sinclair	Hard food by Florence Sinclair	my business / Yeah / But how much? / Well it's forty grand a key / Forty? / Man loud prices there fam / You	https://genius.com/Florence-sinclair-hard-food-lyrics
0	Fly Ferrari	No Exceptions by Fly Ferrari	Verse 1: / Back in 2006/plenty niggas started flipping bricks/ copping work gotta know they worth/pop a perc and	https://genius.com/Fly-ferrari-no-exceptions-lyrics
0	Geez Francisco	Backporch Geez by Geez Francisco	beats the ribs crack when I speak / Every sixteen is a key / Sold marijuana for a couple weeks, used to	https://genius.com/Geez-francisco-backporch-geez-lyrics
0	Genius France	Gimmicks du rap français by Genius France	S. / • Gang / • Africain sauvage / • Ta-ta-ta / - 10 12 14 / Key Largo / • Key Largo, c'est important / • Sheesh / KLM PS	https://genius.com/Genius-france-gimmicks-du-rap-francais-annotated
0	God (Rapper)	Servin by God (Rapper)	out the rapture you could hang it up / Got a whole thing for 'bout 25, by the time you get	https://genius.com/God-rapper-servin-lyrics
0	Ice City (Ft. Babyface (UK) & Meechie318)	Street Therapy by Ice City (Ft. Babyface (UK) & Meechie318)	the ting at Tracy's, brazy / Re-up on the brick, that's thirty-six, half a brick, eighteen / Walk	https://genius.com/Ice-city-street-therapy-lyrics
0	Internal Revenue Service	Treasury and IRS Announce That All Legal Same-Sex Marriages Will Be Recognized For Federal Tax Purposes by Internal Revenue Service	marriage. / The ruling implements federal tax aspects of the June 26 Supreme Court decision invalidating a key provision of the	https://genius.com/Internal-revenue-service-treasury-and-irs-announce-that-all-legal-same-sex-marriages-will-be-recognized-for-federal-tax-purposes-annotated
0	J $tash	Nuthin' by J $tash	your porch / Dope money, coming in, coming out / Thirty bricks a day, bitch we ain't running out / Been a	https://genius.com/J-stash-nuthin-lyrics
0	Jasiah	UPSET* by Jasiah	Lyrics from Snippet / Fuck / Okay, I'm harder than a brick / Thirty-six, if he talkin' slick / Make him walk	https://genius.com/Jasiah-upset-lyrics
0	Jay Weezy	Smile by Jay Weezy	gyal if my mouth's full of lip gloss / Only twenty-two and twenty-two's what the brick costs 	https://genius.com/Jay-weezy-smile-lyrics
0	Jeezy	Real Nigga Anthem by Jeezy	Yeah) / That's right, y'all crazy / If these niggas thirty a brick, then I'm eighty / You tell them	https://genius.com/Jeezy-real-nigga-anthem-lyrics
0	Kane & Abel (Ft. Master P & Prime Suspects)	Greens, Cornbread, and Cabbage by Kane & Abel (Ft. Master P & Prime Suspects)	wanting sacks / Got niggas in the hood waiting on me for crack / Fifteen five for a key now I'm	https://genius.com/Kane-and-abel-greens-cornbread-and-cabbage-lyrics
0	Lil Lyko	Lean by Lil Lyko	I say that I know things / (Verse 1) / Spend 10 grand on a bitch, spend six on a brick / Smoke	https://genius.com/Lil-lyko-lean-lyrics
0	Lil Pump	30 Bitches (2016) by Lil Pump	my dick (Thirty) / Thirty bitches (Thirty) on my dick / Forty thousand on a brick / I could never trust a bitch	https://genius.com/Lil-pump-30-bitches-2016-lyrics
