1992	Tweedy Bird Loc (Ft. NiNi X)	Hoe Is a Bitch by Tweedy Bird Loc (Ft. NiNi X)	your daddy hoe / No whites Allowed / Ha... Ha bitch / - Tweedy Bird Locsta for the '93, saying Fuck you Hoes With	https://genius.com/Tweedy-bird-loc-hoe-is-a-bitch-lyrics
1993	DJ Sound (Ft. Dirty Red (Da Don))	Campaigning by DJ Sound (Ft. Dirty Red (Da Don))	in my hand I shot the fan from the ceilin' / Twenty-two G's, five Ki's, now I'm	https://genius.com/Dj-sound-campaigning-lyrics
1993	DJ Sound (Ft. Dirty Red (Da Don))	Let These Nuts Hang by DJ Sound (Ft. Dirty Red (Da Don))	in my hand I shot the fan from the ceilin' / Twenty-two G's, five Ki's, now I'm	https://genius.com/Dj-sound-let-these-nuts-hang-lyrics
1995	DJ Sound & Frayser Click (Ft. Blue (Memphis) & Lil Noid)	Kickin' N Doors by DJ Sound & Frayser Click (Ft. Blue (Memphis) & Lil Noid)	in my hand I shot the fan from the ceilin' / Twenty-two G's, five keys, now I'm ass	https://genius.com/Dj-sound-and-frayser-click-kickin-n-doors-lyrics
1996	Pimp Daddy (Ft. B.G. & Big Tymers)	Pimp'n Ain't E-Z by Pimp Daddy (Ft. B.G. & Big Tymers)	told me} / For twenty two five, an ki for eleven five / Nigga you can get served with a fifhty five	https://genius.com/Pimp-daddy-pimpn-aint-e-z-lyrics
1997	The Notorious B.I.G.	Niggas Bleed by The Notorious B.I.G.	fucking real, here's the deal / I got a hundred bricks, 14.5 a piece / Enough to cop a 6	https://genius.com/The-notorious-big-niggas-bleed-lyrics
1998	Scarface (Ft. FACEMOB & Hoodlumz)	Don't Testify by Scarface (Ft. FACEMOB & Hoodlumz)	started sayin' / Told him [?], traffic and [?] / Offered him 5 for each key and it's crackin' him up / Now we	https://genius.com/Scarface-dont-testify-lyrics
2000	504 Boyz (Ft. Master P & Samm (Coloquinte))	Moving Things by 504 Boyz (Ft. Master P & Samm (Coloquinte))	I mean an ounce into a brick / Get it for sixteen five, me and my niggas gonna be rich / Put	https://genius.com/504-boyz-moving-things-lyrics
2001	E.S.G. (TX) & Slim Thug (Ft. CoCo (Rapper) & C-Styles (TX))	Mash For Our Cash by E.S.G. (TX) & Slim Thug (Ft. CoCo (Rapper) & C-Styles (TX))	the Cardiers / Cause we ball like Jason, Dujan and Battier / Sixteen-five for a bird, so nigga quit hating / In	https://genius.com/Esg-tx-and-slim-thug-mash-for-our-cash-lyrics
2002	50 Cent (Ft. Nas & Nature)	Too Hot by 50 Cent (Ft. Nas & Nature)	all what Papi told me / I got what you need, nineteen-five a key (Uh-huh) / I stay catching a	https://genius.com/50-cent-too-hot-lyrics
